旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區,lat,log
丰居旅店北車館 (Via Hotel Taipei Station),8.9,3353.0,2206.0,中正區,25.04384,121.51286
首都大飯店松山館 (Capital Hotel Songshan),8.1,4376.0,1925.0,松山區,25.04983,121.57544
路徒行旅 (Roaders Hotel),8.9,5543.0,2030.0,萬華區,25.04509,121.51003
美亞商旅 (Mayer Inn),8.4,2685.0,1461.0,中正區,25.04623,121.51562
丰居旅店西門館 (Via Hotel Ximen),8.8,5762.0,2651.0,萬華區,25.044,121.50758
怡品商旅 (Eastin-Taipei Hotel),8.7,5604.0,2456.0,大安區,25.04177,121.54747
台北凱撒大飯店 (Caesar Park Hotel Taipei),8.1,15787.0,5401.0,中正區,25.04619,121.51621
首都大飯店 (Capital Hotel),8.4,519.0,6671.0,中山區,25.0657,121.56229
台北東旅 (Hotel East Taipei),8.7,2286.0,2246.0,松山區,25.05182,121.5602
長榮桂冠酒店 (Evergreen Laurel Hotel),8.8,2226.0,3074.0,中山區,25.04883,121.53305
米尼旅店 (miniinn),8.9,417.0,537.0,中正區,25.0461,121.51867
臺北摩莎精品旅店 (Taipei M Hotel - Main Station),8.2,6125.0,1082.0,中正區,25.04506,121.51269
台北有園飯店 (U Hotel Taipei),8.2,1561.0,2204.0,中山區,25.05182,121.53744
台北城大飯店 (Taipei City Hotel),8.3,2855.0,2302.0,大同區,25.05804,121.51652
薆悅酒店 (inhouse Hotel),8.4,4647.0,2151.0,萬華區,25.04507,121.50647
昇美精品旅店 (Beauty Hotels Taipei- Hotel Bchic),8.0,1589.0,1252.0,中山區,25.05367,121.52759
六福萬怡酒店 (Courtyard Taipei),8.5,583.0,6424.0,南港區,25.05277,121.6061
承億文旅淡水吹風 (Hotelday Plus Tamsui),8.0,4093.0,2751.0,淡水區,25.18169,121.42125
西門讚 (Simonzen),5.8,10.0,1732.0,萬華區,25.04522,121.50325
丹迪旅店天津店 (Dandy Hotel Tianjin),9.0,2104.0,1758.0,中山區,25.05175,121.52337
圓山大飯店 (Grand Hotel),8.4,5543.0,,中山區,25.07872,121.52631
旅樂序精品旅館站前一館 (Hotel Relax),8.4,3037.0,1760.0,中正區,25.04593,121.51454
漁人碼頭休閒旅館 (The Fisher Hotel),8.1,1512.0,1812.0,淡水區,25.18167,121.42033
新驛旅店台北車站三館 (CityInn Hotel Taipei Station Branch III),8.6,4191.0,1335.0,中正區,25.05107,121.51644
美麗殿商旅-板橋館 (Merryday Hotel Banqiao Branch),8.0,4964.0,1402.0,板橋區,25.00931,121.45784
城市商旅站前館 (City Suites - Main station),8.5,2636.0,1641.0,中正區,25.0508,121.512
林口亞昕福朋喜來登酒店 (Four Points by Sheraton Linkou),8.7,84.0,3600.0,林口區,25.06635,121.36064
旅樂序精品旅館站前三館 (Hotel Relax III),8.5,2766.0,1843.0,中正區,25.04508,121.51383
丰居旅店北車館 (Via Hotel Taipei Station),8.9,3353.0,2206.0,中正區,25.04384,121.51286
久居棧旅店 (9ine Hotel),8.3,2114.0,1353.0,大同區,25.06255,121.51129
傑仕堡商旅板橋館 (Jasper Hotel Banqiao Taipei),9.1,114.0,3698.0,板橋區,25.01753,121.46932
長富時尚旅店 (Homeyhouse),8.5,2519.0,1652.0,中山區,25.05482,121.52573
首都大飯店松山館 (Capital Hotel Songshan),8.1,4376.0,1925.0,松山區,25.04983,121.57544
首府旅館 (Sofu Hotel),7.8,910.0,999.0,板橋區,25.00744,121.46218
香奈爾精品汽車旅館-新莊館 (surreal motel),8.6,367.0,2211.0,新莊區,25.02846,121.43361
路徒行旅 (Roaders Hotel),8.9,5543.0,2030.0,萬華區,25.04509,121.51003
美亞商旅 (Mayer Inn),8.4,2685.0,1461.0,中正區,25.04623,121.51562
尤利西斯旅店 (Ulysses Hotel),8.7,1134.0,1429.0,中正區,25.04919,121.51944
新驛旅店台北車站二館 (CityInn Hotel Taipei Station Branch II),8.7,3089.0,1335.0,中正區,25.05116,121.5164
大倉久和大飯店  (The Okura Prestige Taipei Hotel),9.0,3591.0,9116.0,中山區,25.05248,121.52309
永安棧 (WESTGATE Hotel),8.6,6529.0,3178.0,萬華區,25.04291,121.50785
北投熱海溫泉大飯店 (Atami Hotel Taipei Onsen),6.9,1358.0,2218.0,北投區,25.13681,121.50913
